code,description,type,parent,is_billable
01.52.10,Emisferectomia,procedura,01.52,1
01.52.20,Emisferotomia,procedura,01.52,1
01.53,Lobectomia cerebrale (per lesione organica),category,01.5,0
01.53.0C,Lobectomia cerebrale per asportazione a cielo aperto di lesione o tumore intracerebrale,procedura,01.53,1
01.53.0K,Lobectomia cerebrale per asportazione radiochirurgica di lesione o tumore intracerebrale,procedura,01.53,1
01.53.Z0,Altra lobectomia cerebrale,procedura,01.53,1
01.59,Altra asportazione o demolizione di lesione o tessuto cerebrale,category,01.5,0
01.59.1C,Asportazione a cielo aperto di lesione o tessuto intracerebrale,procedura,01.59,1
01.59.1K,Asportazione radiochirurgica stereotassica di lesione o tessuto tumorale intracerebrale,procedura,01.59,1
01.59.2C,Asportazione a cielo aperto di lesione o tessuto intracerebellare,procedura,01.59,1
01.59.3C,Transezione subpiale multipla (secondo Morrell),procedura,01.59,1
01.59.4C,Sbrigliamento a cielo aperto di tessuto cerebrale [mediante craniotomia fronto-temporale],procedura,01.59,1
01.59.5T,Distruzione di lesione intracerebrale mediante termoterapia interstiziale laser [LITT] [mediante foro di trapano],procedura,01.59,1
01.59.6Y,"Asportazione di lesione delle base cranica anteriore, approccio neuroendoscopico",procedura,01.59,1
01.59.7B,Embolizzazione endovascolare percutanea di lesione o tessuto cerebrale,procedura,01.59,1
01.59.Z0,Altra asportazione o demolizione di lesione o tessuto cerebrale,procedura,01.59,1
01.6,Asportazione di lesioni del cranio,block,01,0
01.60.0C,Asportazione a cielo aperto di lesioni delle ossa craniche,procedura,01.60,1
01.60.1C,Rimozione di tessuto di granulazione delle ossa craniche,procedura,01.60,1
01.6Z.00,Altra asportazione di lesioni dal cranio,procedura,01.6Z,1
02,"Altri interventi sul cranio, sul cervello e sulle meningi cerebrali",chapter,,0
02.0,Cranioplastica,block,02,0
02.01,Apertura di suture del cranio,category,02.0,0
02.01.0C,Apertura di suture del cranio,procedura,02.01,1
02.02,Riposizionamento di frammenti di frattura affossata del cranio,category,02.0,0
02.02.00,Decompressione di frattura affossata del cranio,procedura,02.02,1
02.02.10,Riduzione di frattura del cranio,procedura,02.02,1
02.02.Z0,Altro riposizionamento di frammenti di frattura affossata del cranio,procedura,02.02,1
02.03,Formazione di lembi cranici,category,02.0,0
02.03.10,Riparazione del cranio con lembo osseo,procedura,02.03,1
02.03.20,Cranioplastica ricostruttiva con osso autologo,procedura,02.03,1
02.04,Innesto osseo sul cranio,category,02.0,0
02.04.10,Trapianto pericranico autologo,procedura,02.04,1
02.04.20,Trapianto pericranico eterologoco,procedura,02.04,1
02.04.Z0,Altro innesto osseo sul cranio,procedura,02.04,1
02.05,Inserzione o Sostituzione di placca cranica,category,02.0,0
02.05.10,Impianto di impianto CAD nel neurocranio,procedura,02.05,1
02.05.20,"Impianto di impianto CAD nel neurocranio, con interessamento dello splancnocranio",procedura,02.05,1
02.05.30,"Impianto di impianto CAD nel neurocranio, con interessamento di orbita/regione temporale/seno frontale",procedura,02.05,1
02.05.40,Sostituzione di impianto CAD nel neurocranio,procedura,02.05,1
02.05.50,Cranioplastica con impianto di rete,procedura,02.05,1
02.05.Z1,Altra inserzione di placca cranica,procedura,02.05,1
02.05.Z2,Altra sostituzione di placca cranica,procedura,02.05,1
02.06,Altri tipi di osteoplastica del cranio,category,02.0,0
02.06.10,"Riparazione del neurocranio [cemento osseo, materiale alloplastico]",procedura,02.06,1
02.06.20,"Riparazione di neurocranio e splancnocranio [cemento osseo, materiale alloplastico]",procedura,02.06,1
02.06.30,Revisione di lembo osseo del cranio,procedura,02.06,1
02.06.40,Ricostruzione cranica post-craniectomia decompressiva,procedura,02.06,1
02.06.5C,Cranioplastica fronto-orbitaria monolaterale,procedura,02.06,1
02.06.6C,Cranioplastica fronto-orbitaria bilaterale,procedura,02.06,1
02.06.70,Cranioplastica mediante incisioni,procedura,02.06,1
02.06.80,Cranioplastica espansiva occipitale,procedura,02.06,1
02.06.90,Osteotomia craniofacciale e ricostruzione con osteodistrattori,procedura,02.06,1
02.06.Z0,Altri tipi di osteoplastica del cranio,procedura,02.06,1
02.07,Rimozione di placca del cranio,category,02.0,0
02.07.00,Rimozione di placca del cranio,procedura,02.07,1
02.1,Trattamento di lesione delle meningi cerebrali,block,02,0
02.11,Sutura semplice della dura madre,category,02.1,0
02.11.0C,"Sutura della dura madre, a cielo aperto",procedura,02.11,1
02.12,Altra riparazione delle meningi cerebrali,category,02.1,0
02.12.1C,"Chiusura di fistola liquorale, per via trans-cranica",procedura,02.12,1
02.12.1Y,"Chiusura di fistola liquorale, per via trans-sfenoidale endoscopica",procedura,02.12,1
02.12.2Y,"Chiusura di fistola liquorale, per via trans-etmoidale endoscopica",procedura,02.12,1
02.12.3C,"Riparazione di encefalocele inclusa sincrona cranioplastica, a cielo aperto",procedura,02.12,1
02.12.4C,"Applicazione di Patch subdurale, a cielo aperto",procedura,02.12,1
02.12.50,Duraplastica frontobasale con lembo peduncolato,procedura,02.12,1
02.12.6C,"Innesto durale, a cielo aperto",procedura,02.12,1
02.12.Z0,Altra riparazione delle meningi cerebrali senza plastica ossea,procedura,02.12,1
02.12.Z1,Altra riparazione delle meningi cerebrali con cranioplastica o duraplastica,procedura,02.12,1
02.13,Legatura dei vasi delle meningi: del seno longitudinale dell’arteria meningea mediale,category,02.1,0
02.13.0C,"Legatura del seno longitudinale, a cielo aperto",procedura,02.13,1
02.13.1C,"Legatura dell'arteria meningea mediale, a cielo aperto",procedura,02.13,1
02.13.Z0,Altra legatura dei vasi delle meningi,procedura,02.13,1
02.14,Plessectomia coroidea,category,02.1,0
02.14.0C,"Plessectomia coroidea [Cauterizzazione di plesso coroideo], a cielo aperto",procedura,02.14,1
02.14.0Y,Asportazione neuro-endoscopica di cisti colloidi dai ventricoli cerebrali,procedura,02.14,1
02.2,Ventricolostomia,block,02,0
02.20.0C,"Anastomosi tra ventricolo e spazio subaracnoideo cervicale, a cielo aperto",procedura,02.20,1
02.20.0Y,Anastomosi neuro-endoscopica tra ventricolo e spazio subaracnoideo cervicale,procedura,02.20,1
02.20.1C,"Anastomosi tra ventricolo e cisterna magna, a cielo aperto",procedura,02.20,1
02.20.1Y,Anastomosi neuro-endoscopica tra ventricolo e cisterna magna,procedura,02.20,1
02.20.2C,"Inserzione di valvola con possibilita di registrazione transcranica (Holter), a cielo aperto",procedura,02.20,1
02.20.3C,"Derivazione ventricolo cisternale [cisterne della base], a cielo aperto",procedura,02.20,1
02.20.3Y,"Derivazione ventricolo cisternale [cisterne della base], neuro-endoscopica",procedura,02.20,1
02.20.4Y,Settostomia ventricolare neuro-endoscopica,procedura,02.20,1
02.20.5Y,Fenestrazione endoscopica di cisti intracranica,procedura,02.20,1
02.20.6Y,Acquedottoplastica neuro-endoscopica,procedura,02.20,1
02.20.7Y,"Marsupializzazione di concamerazioni ventricolari, per via endoscopica",procedura,02.20,1
02.2Z.00,Altra ventricolostomia,procedura,02.2Z,1
02.3,Anastomosi ventricolare extracranico,block,02,0
02.31,Anastomosi fra ventricolo e strutture della testa e del collo,category,02.3,0
02.31.Z0,Altra anastomosi permanente fra ventricolo e strutture del capo e del collo,procedura,02.31,1
02.32,Anastomosi fra ventricolo e sistema circolatorio,category,02.3,0
02.32.0H,Anastomosi ventricoloatriale,procedura,02.32,1
02.32.1H,Anastomosi ventricolocavale,procedura,02.32,1
02.33,Anastomosi fra ventricolo e cavità toracica,category,02.3,0
02.33.0H,Anastomosi ventricolopleurica,procedura,02.33,1
02.34,"Anastomosi fra ventricolo, cavità addominale e suoi organi",category,02.3,0
02.34.0H,Ventricoloperitoneostomia,procedura,02.34,1
02.34.1H,Ventricolocolecistostomia,procedura,02.34,1
02.35,Derivazione ventricolare esterna,category,02.3,0
02.35.1C,"Ventricolostomia con impianto di derivazione liquorale temporanea esterna [EVD], a cielo aperto",procedura,02.35,1
02.35.1Y,Ventricolostomia endoscopica con impianto di derivazione liquorale temporanea esterna [EVD],procedura,02.35,1
02.35.2C,"Ventricolostomia con sostituzione completa di derivazione liquorale temporanea esterna [EVD], a cielo aperto",procedura,02.35,1
02.35.2Y,Ventricolostomia endoscopica con sostituzione completa di derivazione liquorale temporanea esterna [EVD],procedura,02.35,1
02.39,Altri interventi per il drenaggio ventricolare,category,02.3,0
02.39.0P,Puntura percutanea di reservoir cranico per deliquorazione,procedura,02.39,1
02.39.Z0,Altri interventi per il drenaggio ventricolare,procedura,02.39,1
02.4,"Revisione, rimozione e irrigazione di anastomosi ventricolare",block,02,0
02.41,Irrigazione ed esplorazione di anastomosi ventricolare,category,02.4,0
02.41.00,Irigazione ed esplorazione di shunt ventricolare,procedura,02.41,1
02.42,Sostituzione di anastomosi ventricolare,category,02.4,0
02.42.1C,Sostituzione di shunt ventricolare (valvola e catetere) [a cielo aperto],procedura,02.42,1
02.42.20,Sostituzione parziale (solo catetere) di shunt ventricolare,procedura,02.42,1
02.42.3C,"Revisione di anastomosi ventricolo-peritoneale [localizzazione ventricolare], a cielo aperto",procedura,02.42,1
02.42.40,Revisione di derivazione ventricolo-atriale (cerebrale),procedura,02.42,1
02.42.Z0,Altra sostituzione di anastomosi ventricolare,procedura,02.42,1
02.43,Rimozione di anastomosi ventricolare,category,02.4,0
02.43.00,"Rimozione di shunt (catetere e valvola) ventricolare, a cielo aperto",procedura,02.43,1
02.43.Z0,Altra rimozione di derivazioni liquorali,procedura,02.43,1
02.4Z.00,Altra revisione di derivazioni liquorali,procedura,02.4Z,1
02.5,Altri interventi per la rivascolarizzazione cerebrale,block,02,0
02.51,Sinangiosi,category,02.5,0
02.51.10,Encefalo-duro-arterio-sinangiosi [EDAS],procedura,02.51,1
02.51.20,Encefalo-duro-sinangiosi [EDS],procedura,02.51,1
02.51.30,Encefalo-mio-sinangiosi [EMS],procedura,02.51,1
02.51.40,Encefalo-galea-periostio-sinangiosi [EGPS],procedura,02.51,1
02.51.Z0,Altra sinangiosi,procedura,02.51,1
02.9,"Altri interventi su cranio, cervello e meningi cerebrali",block,02,0
02.91,Separazione di aderenze corticali,category,02.9,0
02.91.0C,"Separazione di aderenze corticali, a cielo aperto",procedura,02.91,1
02.92,Interventi riparativi del cervello,category,02.9,0
02.92.0C,"Interventi riparativi del cervello, a cielo aperto",procedura,02.92,1
02.93,Impianto o sostituzione di elettrodo/i del neurostimolatore intracranico,category,02.9,0
02.93.1C,"Impianto di sistema per neurostimolazione cerebrale profonda [mediante craniotomia] [elettrodi, estensioni, generatore]",procedura,02.93,1
02.93.2C,Impianto iniziale di soli elettrodo/i del neurostimolatore intracranico,procedura,02.93,1
02.93.3C,Sostituzione di soli elettrodo/i del neurostimolatore intracranico,procedura,02.93,1
02.93.40,Sostituzione di sole estensioni del sistema di neurostimolazione cerebrale profonda,procedura,02.93,1
02.93.5T,Impianto di microelettrodo cerebrale temporaneo [mediante foro di trapano],procedura,02.93,1
02.93.60,Sostituzione di microelettrodo cerebrale temporaneo,procedura,02.93,1
02.93.Z0,Altro impianto o sostituzione di elettrodo/i del neurostimolatore intracranico,procedura,02.93,1
02.94,Applicazione o sostituzione di trazione transcranica o dispositivo di halo,category,02.9,0
02.94.10,Applicazione iniziale di trazione transcranica,procedura,02.94,1
02.94.20,Sostituzione di trazione transcranica,procedura,02.94,1
02.94.30,Applicazione o sostituzione di dispositivo di halo,procedura,02.94,1
02.95,Rimozione di trazione transcranica o dispositivo di halo,category,02.9,0
02.95.00,Rimozione di trazione transcranica o dispositivo di HALO,procedura,02.95,1
02.96,Rimozione di elettrodo/i di neurostimolatore intracranico,category,02.9,0
